Economic_Resilience_Index;Country;Fiscal_space;Monetary_policy_space;low-carbon_economy;Insurance_penetration;Financial_Market_development;Human_capital;Economic_complexity;Labour_market_efficiency;Banking_industry_backdrop;Macroeconomic_Resilience_index;Year
12;South Africa;0.99;0.32;0;1;0.04;0;0.02;1;0.17;0.62;2011
13;China;1;0.25;0;0.08;0.4;0.28;0.27;0.48;0.57;0.6;2011
16;India;1;0.29;0.23;0.19;0.19;0;0.06;0.65;0.26;0.57;2011
21;Russia;1;0.21;0.01;0;0.35;0.74;0.31;0;0.39;0.49;2011
24;Mexico;0.91;0.26;0.41;0;0;0.06;0.51;0.6;0.08;0.51;2011
25;Brazil;0.39;0.5;0.99;0.08;0.27;0;0.28;0.82;0.25;0.45;2011
15;India;1;0.28;0.24;0.24;0.35;0;0.06;0.69;0.25;0.59;2010
18;China;1;0.27;0;0.15;0.42;0.28;0.25;0.46;0.58;0.6;2010
19;South Africa;1;0.35;0;1;0.1;0;0;0.94;0.22;0.63;2010
21;Russia;1;0.24;0;0;0.27;0.65;0.33;0;0.46;0.49;2010
24;Mexico;0.89;0.64;0.41;0;0;0.05;0.49;0.56;0.01;0.54;2010
26;Brazil;0.71;0.49;0.99;0.07;0.29;0;0.28;0.85;0.22;0.56;2010
19;India;1;0.27;0.24;0.28;0.48;0;0.05;0.73;0.28;0.61;2009
20;Russia;1;0.26;0;0;0.6;0.59;0.33;0;0.56;0.54;2009
22;China;1;0.27;0;0.11;0.44;0.28;0.22;0.44;0.6;0.6;2009
23;South Africa;0.89;0.39;0;1;0.19;0;0.04;0.91;0.23;0.6;2009
28;Mexico;0.23;0.64;0.41;0;0;0.03;0.47;0.61;0.02;0.32;2009
29;Brazil;0;0.54;0.99;0.08;0.27;0;0.27;0.87;0.31;0.33;2009
22;Russia;1;0.31;0;0;0.5;0.61;0.28;0.28;0.6;0.59;2008
23;India;0.95;0.26;0.24;0.26;0.35;0;0.04;0.7;0.23;0.57;2008
25;China;1;0.24;0;0.1;0.38;0.28;0.19;0.28;0.45;0.54;2008
26;South Africa;0.62;0.36;0;1;0.17;0;0.04;0.97;0.24;0.51;2008
28;Mexico;0.46;0.54;0.41;0;0;0;0.46;0.67;0.11;0.4;2008
30;Brazil;0;0.13;0.99;0.07;0.35;0;0.31;0.9;0.23;0.28;2008
22;Russia;0.96;0.39;0;0;0.56;0.63;0.31;0.21;0.58;0.58;2007
23;India;0.98;0.36;0.24;0.28;0.27;0;0.01;0.71;0.18;0.58;2007
25;South Africa;0.61;0.47;0;1;0.13;0;0.05;0.98;0.24;0.52;2007
26;China;1;0.34;0;0.04;0.5;0.28;0.11;0.02;0.39;0.51;2007
28;Mexico;0.48;0.44;0.41;0;0;0;0.42;0.61;0.19;0.39;2007
30;Brazil;0;0.33;0.99;0.07;0.27;0;0.31;0.79;0.11;0.27;2007
